
------------------For a 1000x1000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,130299 nanoseconds.
trial 2,62646 nanoseconds.
trial 3,58807 nanoseconds.
trial 4,58017 nanoseconds.
trial 5,69426 nanoseconds.
trial 6,59474 nanoseconds.
trial 7,58211 nanoseconds.
trial 8,64910 nanoseconds.
trial 9,58214 nanoseconds.
trial 10,58307 nanoseconds.
trial 11,59796 nanoseconds.
trial 12,58174 nanoseconds.
trial 13,58226 nanoseconds.
trial 14,58223 nanoseconds.
trial 15,58730 nanoseconds.
Average,165747 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,364 nanoseconds.
trial 2,216 nanoseconds.
trial 3,227 nanoseconds.
trial 4,289 nanoseconds.
trial 5,198 nanoseconds.
trial 6,178 nanoseconds.
trial 7,169 nanoseconds.
trial 8,178 nanoseconds.
trial 9,181 nanoseconds.
trial 10,181 nanoseconds.
trial 11,188 nanoseconds.
trial 12,152 nanoseconds.
trial 13,163 nanoseconds.
trial 14,326 nanoseconds.
trial 15,183 nanoseconds.
Average,1014 nanoseconds.

------------------For a 2000x2000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,77631 nanoseconds.
trial 2,22925 nanoseconds.
trial 3,22270 nanoseconds.
trial 4,22392 nanoseconds.
trial 5,22600 nanoseconds.
trial 6,22977 nanoseconds.
trial 7,22897 nanoseconds.
trial 8,23405 nanoseconds.
trial 9,19863 nanoseconds.
trial 10,19227 nanoseconds.
trial 11,19522 nanoseconds.
trial 12,19180 nanoseconds.
trial 13,19018 nanoseconds.
trial 14,18842 nanoseconds.
trial 15,22564 nanoseconds.
Average,159790 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,361 nanoseconds.
trial 2,166 nanoseconds.
trial 3,157 nanoseconds.
trial 4,165 nanoseconds.
trial 5,172 nanoseconds.
trial 6,172 nanoseconds.
trial 7,175 nanoseconds.
trial 8,185 nanoseconds.
trial 9,167 nanoseconds.
trial 10,165 nanoseconds.
trial 11,347 nanoseconds.
trial 12,192 nanoseconds.
trial 13,174 nanoseconds.
trial 14,162 nanoseconds.
trial 15,168 nanoseconds.
Average,1005 nanoseconds.

------------------For a 3000x3000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,104332 nanoseconds.
trial 2,34718 nanoseconds.
trial 3,34167 nanoseconds.
trial 4,33887 nanoseconds.
trial 5,33568 nanoseconds.
trial 6,33194 nanoseconds.
trial 7,33391 nanoseconds.
trial 8,33124 nanoseconds.
trial 9,32877 nanoseconds.
trial 10,32757 nanoseconds.
trial 11,32491 nanoseconds.
trial 12,37224 nanoseconds.
trial 13,33539 nanoseconds.
trial 14,33342 nanoseconds.
trial 15,33082 nanoseconds.
Average,299519 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,432 nanoseconds.
trial 2,191 nanoseconds.
trial 3,189 nanoseconds.
trial 4,185 nanoseconds.
trial 5,172 nanoseconds.
trial 6,162 nanoseconds.
trial 7,156 nanoseconds.
trial 8,252 nanoseconds.
trial 9,181 nanoseconds.
trial 10,196 nanoseconds.
trial 11,161 nanoseconds.
trial 12,162 nanoseconds.
trial 13,159 nanoseconds.
trial 14,176 nanoseconds.
trial 15,171 nanoseconds.
Average,859 nanoseconds.

------------------For a 4000x4000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,144850 nanoseconds.
trial 2,50177 nanoseconds.
trial 3,45287 nanoseconds.
trial 4,44616 nanoseconds.
trial 5,44353 nanoseconds.
trial 6,49393 nanoseconds.
trial 7,44617 nanoseconds.
trial 8,43892 nanoseconds.
trial 9,43805 nanoseconds.
trial 10,43715 nanoseconds.
trial 11,43819 nanoseconds.
trial 12,45771 nanoseconds.
trial 13,43470 nanoseconds.
trial 14,47911 nanoseconds.
trial 15,44584 nanoseconds.
Average,427962 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,401 nanoseconds.
trial 2,221 nanoseconds.
trial 3,269 nanoseconds.
trial 4,159 nanoseconds.
trial 5,266 nanoseconds.
trial 6,204 nanoseconds.
trial 7,163 nanoseconds.
trial 8,212 nanoseconds.
trial 9,114 nanoseconds.
trial 10,105 nanoseconds.
trial 11,154 nanoseconds.
trial 12,149 nanoseconds.
trial 13,126 nanoseconds.
trial 14,145 nanoseconds.
trial 15,124 nanoseconds.
Average,1023 nanoseconds.

------------------For a 5000x5000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,174612 nanoseconds.
trial 2,58613 nanoseconds.
trial 3,58518 nanoseconds.
trial 4,57982 nanoseconds.
trial 5,57954 nanoseconds.
trial 6,57340 nanoseconds.
trial 7,57056 nanoseconds.
trial 8,57100 nanoseconds.
trial 9,57054 nanoseconds.
trial 10,57048 nanoseconds.
trial 11,56661 nanoseconds.
trial 12,56186 nanoseconds.
trial 13,56294 nanoseconds.
trial 14,56082 nanoseconds.
trial 15,55738 nanoseconds.
Average,552777 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,388 nanoseconds.
trial 2,152 nanoseconds.
trial 3,101 nanoseconds.
trial 4,144 nanoseconds.
trial 5,119 nanoseconds.
trial 6,96 nanoseconds.
trial 7,99 nanoseconds.
trial 8,105 nanoseconds.
trial 9,95 nanoseconds.
trial 10,100 nanoseconds.
trial 11,100 nanoseconds.
trial 12,119 nanoseconds.
trial 13,95 nanoseconds.
trial 14,95 nanoseconds.
trial 15,112 nanoseconds.
Average,846 nanoseconds.

------------------For a 6000x6000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,208442 nanoseconds.
trial 2,73884 nanoseconds.
trial 3,72927 nanoseconds.
trial 4,71744 nanoseconds.
trial 5,72710 nanoseconds.
trial 6,71060 nanoseconds.
trial 7,70586 nanoseconds.
trial 8,71102 nanoseconds.
trial 9,76990 nanoseconds.
trial 10,70871 nanoseconds.
trial 11,71733 nanoseconds.
trial 12,71269 nanoseconds.
trial 13,70922 nanoseconds.
trial 14,69922 nanoseconds.
trial 15,69518 nanoseconds.
Average,679259 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,373 nanoseconds.
trial 2,142 nanoseconds.
trial 3,104 nanoseconds.
trial 4,94 nanoseconds.
trial 5,94 nanoseconds.
trial 6,100 nanoseconds.
trial 7,95 nanoseconds.
trial 8,97 nanoseconds.
trial 9,102 nanoseconds.
trial 10,143 nanoseconds.
trial 11,96 nanoseconds.
trial 12,94 nanoseconds.
trial 13,196 nanoseconds.
trial 14,106 nanoseconds.
trial 15,110 nanoseconds.
Average,851 nanoseconds.

------------------For a 7000x7000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,229525 nanoseconds.
trial 2,88735 nanoseconds.
trial 3,85009 nanoseconds.
trial 4,84851 nanoseconds.
trial 5,84236 nanoseconds.
trial 6,84440 nanoseconds.
trial 7,84083 nanoseconds.
trial 8,83813 nanoseconds.
trial 9,83291 nanoseconds.
trial 10,82685 nanoseconds.
trial 11,83661 nanoseconds.
trial 12,83267 nanoseconds.
trial 13,82933 nanoseconds.
trial 14,83080 nanoseconds.
trial 15,82647 nanoseconds.
Average,812881 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,391 nanoseconds.
trial 2,149 nanoseconds.
trial 3,119 nanoseconds.
trial 4,104 nanoseconds.
trial 5,112 nanoseconds.
trial 6,105 nanoseconds.
trial 7,95 nanoseconds.
trial 8,103 nanoseconds.
trial 9,101 nanoseconds.
trial 10,104 nanoseconds.
trial 11,96 nanoseconds.
trial 12,100 nanoseconds.
trial 13,94 nanoseconds.
trial 14,95 nanoseconds.
trial 15,96 nanoseconds.
Average,848 nanoseconds.

------------------For a 8000x8000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,250365 nanoseconds.
trial 2,224319 nanoseconds.
trial 3,225700 nanoseconds.
trial 4,138049 nanoseconds.
trial 5,102032 nanoseconds.
trial 6,101440 nanoseconds.
trial 7,101546 nanoseconds.
trial 8,100875 nanoseconds.
trial 9,101474 nanoseconds.
trial 10,123571 nanoseconds.
trial 11,125196 nanoseconds.
trial 12,118469 nanoseconds.
trial 13,118608 nanoseconds.
trial 14,116938 nanoseconds.
trial 15,112058 nanoseconds.
Average,984463 nanoseconds.

Runtime for best case:  (only shown the first 10 trials) 

trial 1,344 nanoseconds.
trial 2,159 nanoseconds.
trial 3,127 nanoseconds.
trial 4,106 nanoseconds.
trial 5,94 nanoseconds.
trial 6,110 nanoseconds.
trial 7,96 nanoseconds.
trial 8,97 nanoseconds.
trial 9,95 nanoseconds.
trial 10,95 nanoseconds.
trial 11,95 nanoseconds.
trial 12,96 nanoseconds.
trial 13,96 nanoseconds.
trial 14,96 nanoseconds.
trial 15,95 nanoseconds.
Average,841 nanoseconds.

------------------For a 9000x9000 array-----------------------

Runtime for worst case:  (only shown the first 10 trials) 

trial 1,312939 nanoseconds.
trial 2,145691 nanoseconds.
trial 3,125969 nanoseconds.
trial 4,126084 nanoseconds.
trial 5,125829 nanoseconds.
trial 6,125811 nanoseconds.
trial 7,124100 nanoseconds.
trial 8,124636 nanoseconds.
trial 9,125041 nanoseconds.
trial 10,125518 nanoseconds.
trial 11,123368 nanoseconds.
trial 12,122187 nanoseconds.
trial 13,124583 nanoseconds.
trial 14,122610 nanoseconds.
trial 15,121232 nanoseconds.
Average,1125343 nanoseconds.

